D	000000000006000036	PCRB313 NOVACRON BLUE FN-R 100%	225	2004.610	541.989	752.700	483.667	564.377	324.406	59.838	52.051	87.319	92.576	11.257	9.792	16.427	17.416	56.098	850	475	45	0.000		00.00.0000	00.00.0000				43.176	24.01.2014
D	000000000006000040	PCRR312 NOVACRON RED FN -2BL 100%	20	46.210	5.293	7.507	6.000	6.452	5.123	37.880	49.458	85.652	45.000	0.081	0.106	0.184	0.097	129.803	20	20	45	0.000		00.00.0000	00.00.0000				1.260	24.01.2014
D	000000000006000043	PCRY311 NOVACRON YELLOW  FN-2R  100%	25	28.071	3.464	4.804	5.000	4.941	4.656	26.857	59.988	86.686	49.432	0.044	0.099	0.143	0.081	101.339	25	25		0.000		00.00.0000	00.00.0000				0.890	24.01.2014
A	000000000006000045	CGZZ051 ALBAFLOW JET 100% (1:1)	1080	3015.503	2513.087	2744.270	2720.667	2727.748	3074.239	11.737	84.200	48.954	16.076	10.672	76.559	44.511	14.617	25.027	3180	1800	35	880.000	4500033407	07.01.2014	28.01.2014				1388.585	24.01.2014
A	000000000006000045	CGZZ051 ALBAFLOW JET 100% (1:1)	1080	3015.503	2513.087	2744.270	2720.667	2727.748	3074.239	11.737	84.200	48.954	16.076	10.672	76.559	44.511	14.617	25.027	3180	1800	35	220.000	4500033610	23.01.2014	13.02.2014				1388.585	24.01.2014
A	000000000006000045	CGZZ051 ALBAFLOW JET 100% (1:1)	1080	3015.503	2513.087	2744.270	2720.667	2727.748	3074.239	11.737	84.200	48.954	16.076	10.672	76.559	44.511	14.617	25.027	3180	1800	35	1540.000	4500033611	23.01.2014	13.02.2014				1388.585	24.01.2014
A	000000000006000058	CGZZ188 ALBAFIX  ECO 100%	180	652.402	491.949	626.311	337.333	424.026	427.587	6.233	56.908	68.741	62.400	0.881	8.043	9.716	8.820	27.878	480	270	35	270.000	4500033610	23.01.2014	13.02.2014				99.056	24.01.2014
D	000000000006000064	CGCW066 UVITEX BHT 115 % LIQUID	70	230.650	138.901	192.782	178.333	182.668	260.153	46.445	60.539	48.283	84.395	2.828	3.686	2.940	5.139	22.773	280	140	45	120.000	4500033407	07.01.2014	28.01.2014				122.680	24.01.2014
D	000000000006000064	CGCW066 UVITEX BHT 115 % LIQUID	70	230.650	138.901	192.782	178.333	182.668	260.153	46.445	60.539	48.283	84.395	2.828	3.686	2.940	5.139	22.773	280	140	45	180.000	4500033610	23.01.2014	13.02.2014				122.680	24.01.2014
D	000000000006000077	LJRY014 SUMIFIX SUPRA YELL 3GF 150%	40	212.769	29.581	57.539	85.333	76.995	120.075	31.807	45.912	73.574	89.602	0.816	1.178	1.888	2.300	45.659	120	60	45	40.000	4500033366	06.01.2014	05.02.2014	4398			11.363	24.01.2014
D	000000000006000081	LJRR015 SUMIFIX SUPRA RED GF 150%	20	146.513	57.594	73.619	49.333	56.619	53.989	71.465	65.280	85.073	75.271	1.349	1.232	1.606	1.421	43.092	80	40	45	0.000		00.00.0000	00.00.0000				7.211	24.01.2014
C	000000000006000092	ZZZZ028 GLUBERS SALT 100%	114600	134117.579	268172.448	285022.063	287160.000	286518.619	311014.415	6.124	86.667	46.067	2.864	584.838	8277.235	4399.728	273.569	11.282	382025	226800	40	78000.000	4500032532	11.11.2013	19.01.2013				137051.861	24.01.2014
C	000000000006000092	ZZZZ028 GLUBERS SALT 100%	114600	134117.579	268172.448	285022.063	287160.000	286518.619	311014.415	6.124	86.667	46.067	2.864	584.838	8277.235	4399.728	273.569	11.282	382025	226800	40	104000.000	4500033431	09.01.2014	20.02.2014				137051.861	24.01.2014
C	000000000006000092	ZZZZ028 GLUBERS SALT 100%	114600	134117.579	268172.448	285022.063	287160.000	286518.619	311014.415	6.124	86.667	46.067	2.864	584.838	8277.235	4399.728	273.569	11.282	382025	226800	40	104000.000	4500033431	09.01.2014	25.02.2014				137051.861	24.01.2014
